Date,Details,Debit,Credit,Balance (GBP)
15-07-15,WIT Coin Purchase,,750.00,750.00
15-12-15,WIT Coin Purchase,,750.00,1500.00
28-12-15,WIT Coin Interest (10% APR),,36.78,1536.78
15-07-16,WIT Coin Purchase,,750.00,2286.78
15-12-16,WIT Coin Purchase,,750.00,3036.78
28-12-16,WIT Coin Interest (10% APR),,190.46,3227.24
15-07-17,WIT Coin Purchase,,750.00,3977.24
15-12-17,WIT Coin Purchase,,750.00,4727.24
28-12-17,WIT Coin Interest (10% APR),,359.50,5086.74
15-07-18,WIT Coin Purchase,,750.00,5836.74
15-12-18,WIT Coin Purchase,,750.00,6586.74
28-12-18,WIT Coin Interest (10% APR),,545.46,7132.20
20-01-19,Interest to Date ....,,44.94,7177.14
